Accident_Index,Location_Easting,Location_Northing,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_District,Local_Authority_Highway,1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Date_Time
2018950000093,326570.0,671630.0,-3.176883,55.932097999999996,95,3,2,1,5,923,S12000036,6,0,6,20,6,2,5,0,0,0,1,1,1,0,0,1,1,,2018-11-01 09:31:00
2018950000094,312620.0,674400.0,-3.400989,55.954643000000004,95,2,1,1,2,923,S12000036,6,0,6,20,9,4,6,0,0,4,4,5,2,0,0,1,1,,2018-01-22 17:25:00
2018950000095,340379.0,672794.0,-2.9561580000000003,55.94446899999999,95,2,1,1,7,921,S12000010,3,199,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,2,,2018-01-20 15:30:00
2018950000096,326500.0,676890.0,-3.17944,55.979337,95,2,2,1,3,923,S12000036,6,0,1,20,2,4,6,0,0,0,1,9,2,0,0,1,2,,2018-01-16 14:00:00
2018950000097,327090.0,676550.0,-3.169895,55.976372999999995,95,3,1,1,3,923,S12000036,3,199,6,20,6,2,6,0,0,5,1,2,2,0,0,1,1,,2018-01-23 08:15:00
2018950000098,322960.0,668010.0,-3.2336139999999998,55.899016,95,3,1,1,3,923,S12000036,6,0,6,60,8,4,6,0,0,0,1,2,2,0,0,2,1,,2018-01-23 16:05:00
2018950000099,322190.0,675620.0,-3.248122,55.967249,95,3,1,1,3,923,S12000036,6,0,6,20,3,4,5,0,0,5,4,1,2,0,0,1,1,,2018-01-23 18:40:00
2018950000100,338419.0,665367.0,-2.985839,55.877501,95,2,3,1,3,929,S12000019,3,68,6,60,3,3,4,6372,0,0,6,2,2,0,0,2,1,,2018-01-23 17:00:00
2018950000101,325047.0,640341.0,-3.192631,55.650797999999995,95,3,2,1,7,914,S12000026,4,7062,6,30,0,-1,-1,0,0,4,4,1,4,0,0,1,1,,2018-01-20 22:00:00
2018950000102,304470.0,670328.0,-3.5300199999999995,55.916518,95,2,2,1,3,940,S12000040,1,8,3,70,5,4,3,899,0,0,6,5,2,0,0,2,1,,2018-01-23 07:39:00
2018950000103,304081.0,677911.0,-3.538942,55.984548,95,3,1,1,3,940,S12000040,1,9,3,70,0,-1,-1,0,0,0,1,2,2,0,0,2,1,,2018-01-23 14:50:00
2018950000104,323100.0,672320.0,-3.232605,55.937754000000005,95,3,2,1,6,923,S12000036,3,71,6,30,9,4,6,0,0,0,1,9,1,0,0,1,2,,2018-01-19 15:55:00
2018950000105,322860.0,676050.0,-3.237515,55.971219999999995,95,3,1,1,4,923,S12000036,5,0,6,30,9,4,6,0,0,0,1,9,2,0,0,1,2,,2018-01-24 11:25:00
2018950000107,305774.0,666448.0,-3.5078120000000004,55.881926,95,2,1,1,2,940,S12000040,6,0,6,20,0,-1,-1,0,0,0,1,1,2,0,0,1,1,,2018-01-22 15:21:00
2018950000108,324100.0,673460.0,-3.2169220000000003,55.948153000000005,95,2,1,1,4,923,S12000036,6,0,6,20,3,4,6,0,0,0,4,5,2,0,0,1,1,,2018-01-24 19:00:00
2018950000109,326600.0,675200.0,-3.1773759999999998,55.96417099999999,95,3,1,1,3,923,S12000036,3,900,6,20,0,-1,-1,0,0,5,1,2,2,0,0,1,1,,2018-01-23 13:50:00
2018950000110,341333.0,672523.0,-2.940827,55.942152,95,2,2,1,5,921,S12000010,3,199,6,30,3,4,6,0,0,8,4,1,2,0,0,1,1,,2018-01-25 15:58:00
2018950000111,327240.0,670160.0,-3.165765,55.91899599999999,95,3,2,1,4,923,S12000036,5,0,6,30,3,4,6,0,0,0,4,5,2,0,0,1,1,,2018-01-24 04:00:00
2018950000112,309364.0,671277.0,-3.452065,55.925990000000006,95,2,1,1,4,940,S12000040,1,8,3,70,0,-1,-1,0,0,0,6,5,2,0,0,2,1,,2018-01-24 05:00:00
2018950000113,326100.0,673450.0,-3.184903,55.948375,95,3,2,1,5,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,4,1,1,0,0,1,1,,2018-01-25 23:30:00
2018950000114,351040.0,679493.0,-2.78671,56.005858999999994,95,3,1,1,2,921,S12000010,4,1377,6,40,3,4,4,1345,0,0,7,1,1,0,0,2,1,,2018-01-22 20:25:00
2018950000115,314804.0,643320.0,-3.3562769999999995,55.675867000000004,95,3,1,1,7,914,S12000026,3,72,6,60,0,-1,-1,0,0,0,1,1,4,0,0,2,1,,2018-01-20 14:50:00
2018950000116,319780.0,673060.0,-3.285957,55.943856999999994,95,3,2,1,6,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,1,1,1,0,0,1,2,,2018-01-26 11:45:00
2018950000117,344408.0,669891.0,-2.891061,55.918873,95,2,2,4,6,921,S12000010,4,6355,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,,2018-01-26 18:10:00
2018950000118,353568.0,629157.0,-2.737578,55.553883,95,2,1,1,6,914,S12000026,3,699,6,60,0,-1,-1,0,0,0,6,1,1,0,0,2,1,,2018-01-26 19:25:00
2018950000119,329250.0,668690.0,-3.1332259999999996,55.906091,95,3,2,1,6,923,S12000036,4,701,6,30,6,2,3,772,0,5,1,1,1,0,0,1,1,,2018-01-26 14:05:00
2018950000120,383644.0,668315.0,-2.263201,55.90765699999999,95,2,1,1,2,914,S12000026,3,1107,6,60,0,-1,-1,0,0,0,6,1,2,0,0,2,1,,2018-01-22 18:30:00
2018950000121,329550.0,671540.0,-3.1291740000000003,55.931736,95,2,1,1,1,923,S12000036,6,0,6,20,0,-1,-1,0,0,0,4,1,2,0,0,1,1,,2018-01-28 18:00:00
2018950000122,314790.0,671650.0,-3.3653779999999998,55.93033199999999,95,3,2,1,1,923,S12000036,1,8,3,70,0,-1,-1,0,0,0,1,1,1,0,0,2,1,,2018-01-28 16:30:00
2018950000123,309615.0,671343.0,-3.4480720000000002,55.92663,95,3,1,1,2,940,S12000040,1,8,3,70,0,-1,-1,0,0,0,6,5,2,0,0,2,1,,2018-01-29 02:00:00
2018950000124,322510.0,670430.0,-3.241503,55.92068100000001,95,2,1,1,2,923,S12000036,5,0,6,30,6,4,6,0,0,8,4,5,2,0,0,1,1,,2018-01-29 00:01:00
2018950000125,326690.0,674470.0,-3.175736,55.957628,95,3,3,1,1,923,S12000036,3,1,6,30,0,-1,-1,0,0,8,4,1,1,0,0,1,1,,2018-01-28 19:30:00
2018950000127,304563.0,665737.0,-3.526911,55.875303,95,3,2,1,6,940,S12000040,6,0,6,30,3,2,6,0,0,5,1,1,2,0,0,1,2,,2018-01-26 15:00:00
2018950000130,326310.0,675860.0,-3.182202,55.970055,95,3,1,1,3,923,S12000036,6,0,6,20,3,4,4,900,0,0,1,1,1,0,0,1,1,,2018-01-30 12:45:00
2018950000132,326894.0,675978.0,-3.17288,55.971205000000005,95,3,1,1,3,923,S12000036,3,901,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,,2018-01-30 12:35:00
2018950000133,324600.0,673380.0,-3.2088959999999997,55.947513,95,3,1,1,2,923,S12000036,6,0,3,30,8,2,6,0,0,0,1,8,1,0,0,1,1,,2018-01-29 14:00:00
2018950000134,326490.0,671280.0,-3.178068,55.928942000000006,95,2,1,1,3,923,S12000036,6,0,6,20,3,4,6,0,0,0,1,1,1,0,0,1,1,,2018-01-30 13:30:00
2018950000135,298482.0,665836.0,-3.6240949999999996,55.874947999999996,95,3,1,1,1,940,S12000040,4,792,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,,2018-01-28 10:35:00
2018950000136,336034.0,672829.0,-3.025721,55.944224,95,3,2,1,4,921,S12000010,3,199,1,30,1,4,4,6454,0,0,1,1,1,0,0,1,1,,2018-01-31 11:10:00
2018950000137,327570.0,671250.0,-3.1607790000000002,55.928837,95,3,2,1,4,923,S12000036,6,0,1,20,1,2,6,0,0,0,1,8,2,0,0,1,1,,2018-01-31 09:25:00
2018950000138,324930.0,672770.0,-3.203443,55.942085999999996,95,3,2,1,4,923,S12000036,3,702,6,20,9,2,6,0,0,4,1,1,1,0,0,1,1,,2018-01-31 15:51:00
2018950000139,320630.0,671290.0,-3.27183,55.928098999999996,95,3,1,1,2,923,S12000036,5,0,6,20,0,-1,-1,0,1,4,1,9,1,0,0,1,2,,2018-01-29 15:15:00
